Date,Open,High,Low,Close,Adj Close,Volume
2001-08-01,1691.000000,1779.500000,1437.000000,1472.500000,1472.500000,2567569
2001-09-01,1474.000000,1523.000000,1104.000000,1175.000000,1175.000000,1886493
2001-10-01,1171.000000,1493.000000,1136.000000,1369.000000,1369.000000,3964161
2001-11-01,1364.500000,1648.000000,1360.500000,1598.000000,1598.000000,3263778
2001-12-01,1590.000000,1738.000000,1547.000000,1583.500000,1583.500000,1654373
2002-01-01,1577.500000,1717.000000,1484.000000,1553.500000,1553.500000,3719312
2002-02-01,1549.500000,1565.500000,1330.500000,1360.500000,1360.500000,3843644
2002-03-01,1360.000000,1575.000000,1358.000000,1459.500000,1459.500000,2531013
2002-04-01,1454.000000,1489.500000,1231.000000,1280.000000,1280.000000,4227364
2002-05-01,1279.500000,1354.000000,1144.500000,1209.500000,1209.500000,4835568
2002-06-01,1209.500000,1219.500000,974.000000,1054.000000,1054.000000,3426907
2002-07-01,1054.500000,1073.500000,873.000000,961.500000,961.500000,6038526
2002-08-01,958.500000,1055.000000,857.000000,943.500000,943.500000,4305028
2002-10-01,835.500000,1014.500000,797.500000,991.500000,991.500000,6252221
2002-11-01,991.500000,1145.000000,973.500000,1117.000000,1117.000000,5031103
2003-01-01,992.000000,1108.500000,965.000000,984.500000,984.500000,5338706
2003-02-01,984.000000,1022.000000,938.500000,1010.500000,1010.500000,4879522
2003-03-01,1014.500000,1095.500000,945.000000,1021.000000,1021.000000,3721060
2003-04-01,1019.000000,1129.500000,1015.500000,1108.000000,1108.000000,5130873
2003-05-01,1107.000000,1202.500000,1095.000000,1199.000000,1199.000000,5238059
2003-07-01,1206.000000,1319.500000,1179.000000,1279.000000,1279.000000,6365998
2003-08-01,1278.500000,1346.000000,1204.000000,1342.000000,1342.000000,4920697
2003-09-01,1341.000000,1402.000000,1303.000000,1306.000000,1306.000000,5384267
2003-10-01,1305.500000,1445.000000,1304.500000,1418.000000,1418.000000,6598658
2003-11-01,1412.500000,1458.500000,1356.500000,1425.000000,1425.000000,5496232
2003-12-01,1424.000000,1479.000000,1372.500000,1468.000000,1468.000000,3750904
2004-01-01,1473.000000,1563.000000,1460.500000,1495.000000,1495.000000,6641608
2004-03-01,1473.000000,1496.000000,1365.500000,1441.500000,1441.500000,5902695
2004-04-01,1443.500000,1511.000000,1399.500000,1403.000000,1403.000000,6385429
2004-05-01,1399.500000,1471.500000,1372.500000,1468.000000,1468.000000,7055801
